TABLE S1. Data from Adenot;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No;SMILES-Adenot;SMILES;SMILES-B;Name;BBB-crossing;P-gp;note;E;S;A;B;V;MW;PSA;logP;logD(7.4);No of H donors;No of H Accetors;pKa (Acid);pKa (Base);Iv (Carboxy);(+)Form;(-)Form;(+/-)Form;0Form;No of Rotatable bonds;Distance-Ab;Training or test set;;;;;;
938;71;COc1ccc(cc1)C3Sc2ccccc2N(CCN(C)C)C(=O)C3OC(C)=O ;COc1ccc(cc1)C3Sc2ccccc2N(CCN(C)C)C(=O)C3OC(C)=O ;diltiazem;0;P-gp (Adenot, J. Chem. Inf. Comput. Sci. 2004, 44, 239-248);;2,53;2,87;0,00;1,96;3,14;414,52;84,38;2,83;1,97;0;6;999;8,2;0;0,863;0,000;0,000;0,137;7;0,27;Training;;;;;;
939;COc1ccc(cc1O)C1=CC(=O)c2c(cc(cc2O1)O[C@@H]1O[C@H](CO[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O)O;COc1ccc(cc1O)c5cc(=O)c4c(O)cc(OC3OC(COC2OC(C)C(O)C(O)C2O)C(O)C(O)C3O)cc4o5 ;COc1ccc(cc1O)c5cc(=O)c4c(O)cc(OC3OC(COC2OC(C)C(O)C(O)C2O)C(O)C(O)C3O)cc4o5 ;diosmin;0;P-gp (Adenot, J. Chem. Inf. Comput. Sci. 2004, 44, 239-248);;4,02;4,93;1,61;4,47;4,05;608,54;234,29;-0,63;-0,73;8;15;8;-999;0;0,000;0,201;0,000;0,799;7;0,90;Training;;;;;;
940;CNCC(O)c1ccc(c(c1)OC(=O)C(C)(C)C)OC(=O)C(C)(C)C;CNCC(O)c1ccc(c(c1)OC(=O)C(C)(C)C)OC(=O)C(C)(C)C;CNCC(O)c1ccc(c(c1)OC(=O)C(C)(C)C)OC(=O)C(C)(C)C;dipivefrin (dipivefrine);0;;Adenot names dipivefrine;1,19;1,81;0,61;1,54;2,86;351,44;84,86;2,47;0,69;2;6;999;9,2;0;0,984;0,000;0,000;0,016;9;0,48;Training;;;;;;
941;CCC(=O)O[C@H]1[C@@H](C)[C@@H](C)OC(=O)C(C)[C@@H](O[C@H]2C[C@H](OC)[C@@H](OC(=O)CC)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)C(C)C[C@@]2(CO2)C(=O)[C@@H]1C;CCC(=O)OC1C(C)C(C)OC(=O)C(C)C(OC2CC(OC)C(OC(=O)CC)C(C)O2)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)CC2(CO2)C(=O)C1C;CCC(=O)OC1C(C)C(C)OC(=O)C(C)C(OC2CC(OC)C(OC(=O)CC)C(C)O2)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)CC2(CO2)C(=O)C1C;diproleandomycin;0;;;2,53;4,17;0,85;4,67;6,20;799,98;187,35;5,09;3,87;1;15;999;8,6;0;0,941;0,000;0,000;0,059;12;1,05;Training;;;;;;
942;OCCN(CCO)c1nc(c2nc(nc(c2n1)N1CCCCC1)N(CCO)CCO)N1CCCCC1;OCCN(CCO)c4nc(N1CCCCC1)c3nc(nc(N2CCCCC2)c3n4)N(CCO)CCO ;OCCN(CCO)c4nc(N1CCCCC1)c3nc(nc(N2CCCCC2)c3n4)N(CCO)CCO ;dipyridamole;0;P-gp (Adenot, J. Chem. Inf. Comput. Sci. 2004, 44, 239-248);;3,28;3,68;1,30;3,98;3,87;504,62;145,44;4,90;4,86;4;12;999;6,4;0;0,091;0,000;0,000;0,909;12;1,17;Training;;;;;;
943;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)[C@@H]2N[C@@H](COCCOC)O[C@H]([C@H]2C)[C@]1(C)O;CCC4OC(=O)C(C)C(OC1CC(C)(OC)C(O)C(C)O1)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)(O)CC(C)C3NC(COCCOC)OC(C3C)C4(C)O ;CCC4OC(=O)C(C)C(OC1CC(C)(OC)C(O)C(C)O1)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)(O)CC(C)C3NC(COCCOC)OC(C3C)C4(C)O ;dirithromycin;0;;;2,87;4,00;1,34;5,66;6,57;835,07;196,33;1,84;0,03;5;16;999;9,2;0;0,984;0,000;0,000;0,016;12;0,76;Training;;;;;;
944;CC(=O)O[C@]12CO[C@@H]2C[C@H](O)[C@]2(C)C1[C@H](OC(=O)c1ccccc1)[C@]1(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c3ccccc3)C(=C([C@@H](O)C2=O)C1(C)C)C;CC(=O)OC12COC1CC(O)C5(C)C2C(OC(=O)c3ccccc3)C6(O)CC(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c4ccccc4)C(=C(C(O)C5=O)C6(C)C)C ;CC(=O)OC12COC1CC(O)C5(C)C2C(OC(=O)c3ccccc3)C6(O)CC(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c4ccccc4)C(=C(C(O)C5=O)C6(C)C)C ;docetaxel;0;P-gp (Adenot, J. Chem. Inf. Comput. Sci. 2004, 44, 239-248);Adenot use twice;4,08;6,05;1,09;4,33;5,92;807,88;224,45;3,60;3,60;5;15;999;-999;0;0,000;0,000;0,000;1,000;13;0,91;Training;;;;;;
945;72;Clc5ccc4n(C3CCN(CCCn1c(=O)[nH]c2ccccc12)CC3)c(=O)[nH]c4c5 ;Clc5ccc4n(C3CCN(CCCn1c(=O)[nH]c2ccccc12)CC3)c(=O)[nH]c4c5 ;domperidone;0;P-gp (Adenot, J. Chem. Inf. Comput. Sci. 2004, 44, 239-248);;3,09;2,93;0,42;2,37;3,06;425,91;67,92;4,27;3,49;2;7;999;8,1;0;0,834;0,000;0,000;0,166;5;0,55;Training;;;;;;
946;305;NCCc1ccc(O)c(O)c1 ;NCCc1ccc(O)c(O)c1 ;dopamine;0;;;1,25;1,30;0,97;1,05;1,22;153,18;66,48;0,32;-1,08;4;3;10;8,8;0;0,959;0,000;0,002;0,038;2;2,94;Training;;;;;;
947;74;COc4cccc5C(=O)c3c(O)c2CC(O)(CC(OC1CC(N)C(O)C(C)O1)c2c(O)c3C(=O)c45)C(=O)CO ;COc4cccc5C(=O)c3c(O)c2CC(O)(CC(OC1CC(N)C(O)C(C)O1)c2c(O)c3C(=O)c45)C(=O)CO ;doxorubicin (epirubicin);0;P-gp (Adenot, J. Chem. Inf. Comput. Sci. 2004, 44, 239-248);Adenot use twice for doxorubicin, which also have same SMILES of  epirubicin;3,63;4,10;1,23;3,74;3,73;543,52;206,07;0,32;-0,46;7;12;10;8,1;0;0,832;0,000;0,002;0,166;5;0,56;Training;;;;;;
948;CC[C@H](C(=O)NC/C=C/C=C(\C)/[C@@H](OC)[C@@H](C)C1O[C@H](/C=C/C=C/C=C(\C)/C(=O)C2=C(O)C=CN(C)C2=O)[C@H](O)[C@@H]1O)[C@@]1(O)O[C@@H](/C=C/C=C\C)C(C)(C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@@H]3O[C@@H](C)[C@H](OC)[C@@H](O)[C@H]3OC)[C@@H](OC)[C@H]2O)[C@H]1O;CCC(C(=O)NCC=CC=C(C)C(OC)C(C)C1OC(C=CC=CC=C(C)C(=O)C2=C(O)C=CN(C)C2=O)C(O)C1O)C1(O)OC(C=CC=CC)C(C)(C)C(OC2OC(C)C(OC3OC(C)C(OC)C(O)C3OC)C(OC)C2O)C1O;CCC(C(=O)NCC=CC=C(C)C(OC)C(C)C1OC(C=CC=CC=C(C)C(=O)C2=C(O)C=CN(C)C2=O)C(O)C1O)C1(O)OC(C=CC=CC)C(C)(C)C(OC2OC(C)C(OC3OC(C)C(OC)C(O)C3OC)C(OC)C2O)C1O;efrotomycin;0;;;5,20;5,72;1,79;6,78;8,74;1145,33;300,39;4,96;1,48;8;22;3,8;-999;0;0,000;1,000;0,000;0,000;24;2,12;Training;;;;;;
949;CC[C@H]1CN2CCc3cc(c(cc3[C@@H]2C[C@@H]1C[C@H]1NCCc2cc(c(cc12)OC)OC)OC)OC;CCC3CN2CCc1cc(OC)c(OC)cc1C2CC3CC4NCCc5cc(OC)c(OC)cc45 ;CCC3CN2CCc1cc(OC)c(OC)cc1C2CC3CC4NCCc5cc(OC)c(OC)cc45 ;emetine;0;P-gp (Adenot, J. Chem. Inf. Comput. Sci. 2004, 44, 239-248);;2,51;2,51;0,26;2,05;3,83;480,64;52,19;4,09;2,48;1;6;999;9;0;0,975;0,000;0,000;0,025;7;0,37;Training;;;;;;
950;CCN1C=C(C(O)=O)C(=O)c2cc(c(nc12)N1CCNCC1)F;CCn1cc(C(O)=O)c(=O)c2cc(F)c(nc12)N3CCNCC3 ;CCn1cc(C(O)=O)c(=O)c2cc(F)c(nc12)N3CCNCC3 ;enoxacin;0;P-gp (Adenot, J. Chem. Inf. Comput. Sci. 2004, 44, 239-248);;2,01;2,34;0,62;2,07;2,23;320,32;85,77;-0,77;-3,09;2;7;6,1;8,8;1;0,046;0,036;0,916;0,002;3;0,26;Training;;;;;;
951;CO[C@H]1C[C@@H](O[C@@H](C)[C@@H]1O)O[C@H]1[C@H](C)O[C@H](C[C@@H]1OC)O[C@H]1[C@@H](C)C=CC=C2CO[C@@H]3[C@H](O)C(=C[C@@H](C(=O)O[C@H]4C[C@@H](CC=C1C)O[C@@]1(CC[C@H](C)[C@H](O1)C(C)C)C4)[C@@]32O)C;COC1CC(OC(C)C1O)OC2C(C)OC(CC2OC)OC3C(C)C=CC=C6COC7C(O)C(=CC(C(=O)OC5CC(CC=C3C)OC4(CCC(C)C(O4)C(C)C)C5)C67O)C;COC1CC(OC(C)C1O)OC2C(C)OC(CC2OC)OC3C(C)C=CC=C6COC7C(O)C(=CC(C(=O)OC5CC(CC=C3C)OC4(CCC(C)C(O4)C(C)C)C5)C67O)C;eqvalan (ivermectin-ii);0;P-gp (Adenot, J. Chem. Inf. Comput. Sci. 2004, 44, 239-248);Adenot names ivermectin-ii;3,68;4,48;1,23;4,60;6,58;861,06;170,06;2,76;2,76;3;14;999;-999;0;0,000;0,000;0,000;1,000;7;0,65;Training;;;;;;
952;83;CCC3OC(=O)C(C)C(OC1CC(C)(OC)C(O)C(C)O1)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)(O)CC(C)C(=O)C(C)C(O)C3(C)O ;CCC3OC(=O)C(C)C(OC1CC(C)(OC)C(O)C(C)O1)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)(O)CC(C)C(=O)C(C)C(O)C3(C)O ;erythromycin;0;P-gp (Adenot, J. Chem. Inf. Comput. Sci. 2004, 44, 239-248);;2,83;3,71;1,47;5,14;5,77;733,92;193,91;1,87;0,65;5;14;999;8,6;0;0,941;0,000;0,000;0,059;7;0,26;Training;;;;;;
953;CCOC(=O)O[C@@H]1[C@H](C[C@@H](C)O[C@H]1O[C@@H]1[C@@H](C)[C@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@]1(C)O)N(C)C;CCOC(=O)OC1C(CC(C)OC1OC1C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(=O)OC(CC)C(C)(O)C(O)C(C)C(=O)C(C)CC1(C)O)N(C)C;CCOC(=O)OC1C(CC(C)OC1OC1C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(=O)OC(CC)C(C)(O)C(O)C(C)C(=O)C(C)CC1(C)O)N(C)C;erythromycin-ethylcarbonate;0;;;2,75;3,60;1,42;5,18;6,27;805,99;209,21;2,54;0,39;4;16;999;9,6;0;0,994;0,000;0,000;0,006;11;0,24;Training;;;;;;
954;CCOC(=O)CCC(=O)O[C@@H]1[C@H](C[C@@H](C)O[C@H]1O[C@@H]1[C@@H](C)[C@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@]1(C)O)N(C)C;CCOC(=O)CCC(=O)OC1C(CC(C)OC1OC1C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(=O)OC(CC)C(C)(O)C(O)C(C)C(=O)C(C)CC1(C)O)N(C)C;CCOC(=O)CCC(=O)OC1C(CC(C)OC1OC1C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(=O)OC(CC)C(C)(O)C(O)C(C)C(=O)C(C)CC1(C)O)N(C)C;erythromycin-ethylsuccinate;0;;;2,80;4,35;1,41;5,53;6,71;862,05;226,28;2,83;1,80;4;17;999;8,4;0;0,909;0,000;0,000;0,091;14;0,38;Training;;;;;;
955;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2OC(=O)CC)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O;CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2OC(=O)CC)N(C)C)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O;CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2OC(=O)CC)N(C)C)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O;erythromycin-propionate;0;;;2,74;3,87;1,42;5,14;6,21;789,99;199,98;2,73;1,69;4;15;999;8,4;0;0,909;0,000;0,000;0,091;10;0,39;Training;;;;;;
956;C[C@@]12CC[C@H]3[C@@H](CCc4cc(ccc34)O)[C@@H]2CC[C@@H]1O;CC34CCC1C(CCc2cc(O)ccc12)C3CCC4O ;CC34CCC1C(CCc2cc(O)ccc12)C3CCC4O ;estradiol;0;P-gp (Adenot, J. Chem. Inf. Comput. Sci. 2004, 44, 239-248);;1,71;1,59;0,76;0,89;2,20;272,38;40,46;3,94;3,94;2;2;10,3;-999;0;0,000;0,001;0,000;0,999;0;0,58;Training;;;;;;
957;CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)[C@]2(O)C(=O)C(=C1O)C(=O)NCN(C)CCN(C)CNC(=O)C1=C(O)[C@H]([C@@H]2C[C@H]4C(=C(O)[C@]2(O)C1=O)C(=O)c1c(cccc1[C@@]4(C)O)O)N(C)C)C(=O)c1c(cccc1[C@@]3(C)O)O;CN(C)C1C2CC3C(=C(O)C2(O)C(=O)C(=C1O)C(=O)NCN(C)CCN(C)CNC(=O)C1=C(O)C(C2CC4C(=C(O)C2(O)C1=O)C(=O)c1c(cccc1C4(C)O)O)N(C)C)C(=O)c1c(cccc1C3(C)O)O;CN(C)C1C2CC3C(=C(O)C2(O)C(=O)C(=C1O)C(=O)NCN(C)CCN(C)CNC(=O)C1=C(O)C(C2CC4C(=C(O)C2(O)C1=O)C(=O)c1c(cccc1C4(C)O)O)N(C)C)C(=O)c1c(cccc1C3(C)O)O;etamocycline;0;;;7,25;8,52;3,66;7,26;7,13;1001,04;341,74;-0,03;-4,03;12;22;3,3;9,2;0;0,000;0,016;0,984;0,000;11;5,36;Training;;;;;;
958;COc1cc(cc(c1O)OC)[C@H]1[C@@H]2[C@H](COC2=O)[C@H](O[C@@H]2O[C@@H]3CO[C@H](C)O[C@H]3[C@H](O)[C@H]2O)c2cc3c(cc12)OCO3;COc1cc(cc(OC)c1O)C6C2C(COC2=O)C(OC4OC3COC(C)OC3C(O)C4O)c7cc5OCOc5cc67 ;COc1cc(cc(OC)c1O)C6C2C(COC2=O)C(OC4OC3COC(C)OC3C(O)C4O)c7cc5OCOc5cc67 ;etoposide;0;P-gp (Adenot, J. Chem. Inf. Comput. Sci. 2004, 44, 239-248);;3,27;4,77;1,23;3,55;3,90;588,56;160,83;0,44;0,44;3;13;10;-999;0;0,000;0,003;0,000;0,997;5;0,76;Training;;;;;;
959;89;CCOC(=O)C1=C(C)NC(=C(C1c2cccc(Cl)c2Cl)C(=O)OC)C ;CCOC(=O)C1=C(C)NC(=C(C1c2cccc(Cl)c2Cl)C(=O)OC)C ;felodipine;0;P-gp (Adenot, J. Chem. Inf. Comput. Sci. 2004, 44, 239-248);;1,96;1,69;0,12;1,17;2,71;384,25;64,63;2,91;2,91;1;5;999;2;0;0,000;0,000;0,000;1,000;6;0,30;Training;;;;;;
960;CC1(C)S[C@@H]2[C@H](NC(=O)C(Oc3ccccc3)c3ccccc3)C(=O)N2[C@H]1C(O)=O;CC4(C)SC3C(NC(=O)C(Oc1ccccc1)c2ccccc2)C(=O)C3C4C(O)=O ;CC4(C)SC3C(NC(=O)C(Oc1ccccc1)c2ccccc2)C(=O)C3C4C(O)=O ;fenbenicillin;0;;;2,79;3,23;0,96;2,16;3,08;425,50;118,00;3,41;0,35;2;6;4,3;-999;1;0,000;0,999;0,000;0,001;6;2,72;Training;;;;;;
961;CC(C)(C(O)=O)c1ccc(cc1)C(O)CCCN1CCC(CC1)C(O)(c1ccccc1)c1ccccc1;CC(C)(C(O)=O)c1ccc(cc1)C(O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4 ;CC(C)(C(O)=O)c1ccc(cc1)C(O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4 ;fexofenadine;0;P-gp (Adenot, J. Chem. Inf. Comput. Sci. 2004, 44, 239-248);;2,95;2,75;0,90;1,96;4,09;501,65;81,00;4,35;1,83;3;5;4,3;8,8;1;0,001;0,038;0,961;0,000;10;1,05;Training;;;;;;
962;CC1(C)S[C@H]2[C@@H](NC(=O)C(NC(=O)C(C)(C)Oc3ccc(cc3)Cl)c3ccccc3)C(=O)N2[C@@H]1C(O)=O ;CC4(C)SC3C(NC(=O)C(NC(=O)C(C)(C)Oc1ccc(Cl)cc1)c2ccccc2)C(=O)N3C4C(O)=O ;CC4(C)SC3C(NC(=O)C(NC(=O)C(C)(C)Oc1ccc(Cl)cc1)c2ccccc2)C(=O)N3C4C(O)=O ;fibracillin;0;;;3,41;3,88;0,91;2,77;3,85;546,03;150,34;4,01;-0,01;3;9;2,6;-999;1;0,000;1,000;0,000;0,000;8;1,06;Training;;;;;;
963;92;CN1CCN(CC1)c3c(F)cc2c(=O)c(cn(CCF)c2c3F)C(O)=O;CN1CCN(CC1)c3c(F)cc2c(=O)c(cn(CCF)c2c3F)C(O)=O;fleroxacin;0;P-gp (Adenot, J. Chem. Inf. Comput. Sci. 2004, 44, 239-248);;1,78;2,37;0,37;1,94;2,45;369,34;64,09;-1,56;-3,25;1;6;6,1;7,6;1;0,029;0,368;0,584;0,018;4;0,39;Training;;;;;;
964;CO[C@]1(NC(=O)CSC(F)F)[C@H]2OCC(=C(N2C1=O)C(O)=O)CSc1nnnn1CCO;COC2(NC(=O)CSC(F)F)C1OCC(=C(N1C2=O)C(O)=O)CSc3nnnn3CCO ;COC2(NC(=O)CSC(F)F)C1OCC(=C(N1C2=O)C(O)=O)CSc3nnnn3CCO ;flomoxef;0;;;2,84;3,65;0,90;3,75;3,01;496,47;219,60;0,53;-3,51;3;13;2,5;-999;1;0,000;1,000;0,000;0,000;11;1,13;Training;;;;;;
965;C[C@@H](O)[C@@H]1[C@H]2SC(=C(N2C1=O)C(O)=O)[C@H]1CCCO1;CC(O)C2C1SC(=C(N1C2=O)C(O)=O)C3CCCO3;CC(O)C2C1SC(=C(N1C2=O)C(O)=O)C3CCCO3;fropenem (faropenem);0;;Adenot names faropenem;2,05;2,19;0,71;1,99;1,90;285,32;112,37;1,27;-2,57;2;6;3,2;-999;1;0,000;1,000;0,000;0,000;3;0,39;Training;;;;;;
966;CC1(C)S[C@@H]2[C@H](NC(=O)C(/N=C/c3occc3)c3ccc(cc3)O)C(=O)N2[C@H]1C(O)=O ;CC4(C)SC3C(NC(=O)C(N=Cc1ccco1)c2ccc(O)cc2)C(=O)N3C4C(O)=O ;CC4(C)SC3C(NC(=O)C(N=Cc1ccco1)c2ccc(O)cc2)C(=O)N3C4C(O)=O ;fumoxicillin;0;;;3,15;3,26;0,98;2,53;3,06;443,47;157,74;1,04;-3,34;3;9;2,6;5,1;1;0,000;0,995;0,005;0,000;6;0,44;Training;;;;;;
967;CC(C)C[C@@H](OC(=O)c1occc1)C(=O)N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O ;CC(C)CC(OC(=O)c1ccco1)C(=O)NC3C2SC(C)(C)C(N2C3=O)C(O)=O ;CC(C)CC(OC(=O)c1ccco1)C(=O)NC3C2SC(C)(C)C(N2C3=O)C(O)=O ;furbucillin;0;;;2,21;2,99;0,63;2,46;2,98;424,47;151,45;2,38;-1,65;2;9;2,6;-999;1;0,000;1,000;0,000;0,000;8;0,44;Training;;;;;;
968;C[C@@H]1[C@H](O)CC[C@@]2(C)[C@H]1CC[C@@]1(C)C2[C@H](O)C[C@H]2\C(\[C@H](C[C@@]21C)OC(C)=O)=C(\CCC=C(C)C)/C(O)=O;CC1C(O)CCC2(C)C1CCC3(C)C2C(O)CC4C(C(CC34C)OC(C)=O)=C(CCC=C(C)C)C(O)=O ;CC1C(O)CCC2(C)C1CCC3(C)C2C(O)CC4C(C(CC34C)OC(C)=O)=C(CCC=C(C)C)C(O)=O ;fusidic-acid;0;;;2,10;2,68;1,17;1,94;4,22;516,71;104,06;5,56;2,78;3;6;4,6;-999;1;0,000;0,998;0,000;0,002;6;1,11;Training;;;;;;
969;CN[C@@H]1[C@H](O)[C@H](OC[C@]1(C)O)O[C@H]1[C@H](N)C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)CC[C@H]2N)[C@H]1O ;CNC1C(O)C(OCC1(C)O)OC1C(N)CC(N)C(OC2OC(CN)CCC2N)C1O;CNC1C(O)C(OCC1(C)O)OC1C(N)CC(N)C(OC2OC(CN)CCC2N)C1O;gentamicin;0;;;2,91;3,18;1,39;5,12;3,37;449,54;213,72;-5,44;-7,65;12;12;999;9,6;0;0,994;0,000;0,000;0,006;6;0,30;Training;;;;;;
970;COc1ccc(cc1C(=O)NCCc1ccc(cc1)S(=O)(=O)NC(=O)NC1CCCCC1)Cl;COc1ccc(Cl)cc1C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)NC3CCCCC3 ;COc1ccc(Cl)cc1C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)NC3CCCCC3 ;glibenclamide;0;P-gp (Adenot, J. Chem. Inf. Comput. Sci. 2004, 44, 239-248);;2,73;3,80;0,89;2,05;3,56;494,00;121,98;4,02;1,83;3;8;5,2;-999;0;0,000;0,994;0,000;0,006;8;0,68;Training;;;;;;
971;CO\N=C(/C(=O)N[C@H]1[C@H](C)N(OCC(=O)OCC(=O)OC(C)(C)C)C1=O)\c1csc(n1)N;CON=C(C(=O)NC1C(C)N(OCC(=O)OCC(=O)OC(C)(C)C)C1=O)c2csc(N)n2 ;CON=C(C(=O)NC1C(C)N(OCC(=O)OCC(=O)OC(C)(C)C)C1=O)c2csc(N)n2 ;gloximonam;0;;;2,04;3,30;0,44;2,91;3,26;471,48;199,98;1,58;1,58;3;13;999;4,9;0;0,003;0,000;0,000;0,997;12;0,85;Training;;;;;;
972;CC(C)C[C@H](N)C(=O)N[C@@H](CCCN)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCN)C(=O)N1CCC[C@H]1C(=O)N[C@H](Cc1ccccc1)C=O;CC(C)CC(N)C(=O)NC(CCCN)C(=O)NC(C(C)C)C(=O)NC(CCCN)C(=O)N1CCCC1C(=O)NC(Cc1ccccc1)C=O ;CC(C)CC(N)C(=O)NC(CCCN)C(=O)NC(C(C)C)C(=O)NC(CCCN)C(=O)N1CCCC1C(=O)NC(Cc1ccccc1)C=O ;gramicidin-j2;0;P-gp (Adenot, J. Chem. Inf. Comput. Sci. 2004, 44, 239-248);;2,98;4,86;1,91;3,98;5,59;686,88;231,84;-1,83;-5,03;10;14;999;10,6;0;0,999;0,000;0,000;0,001;21;1,85;Training;;;;;;
973;CC(C)C[C@@H]1NC(=O)[C@H](CCCN)NC(=O)[C@@H](NC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCN)NC(=O)[C@@H](NC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2ccccc2)NC1=O)C(C)C)C(C)C ;CC(C)CC5NC(=O)C(CCCN)NC(=O)C(NC(=O)C1CCCN1C(=O)C(Cc2ccccc2)NC(=O)C(CC(C)C)NC(=O)C(CCCN)NC(=O)C(NC(=O)C3CCCN3C(=O)C(Cc4ccccc4)NC5=O)C(C)C)C(C)C ;CC(C)CC5NC(=O)C(CCCN)NC(=O)C(NC(=O)C1CCCN1C(=O)C(Cc2ccccc2)NC(=O)C(CC(C)C)NC(=O)C(CCCN)NC(=O)C(NC(=O)C3CCCN3C(=O)C(Cc4ccccc4)NC5=O)C(C)C)C(C)C ;gramicidin-s;0;P-gp (Adenot, J. Chem. Inf. Comput. Sci. 2004, 44, 239-248);;6,31;7,58;2,08;6,95;9,12;1141,44;325,46;4,74;1,55;12;22;999;10,6;0;0,999;0,000;0,000;0,001;16;3,91;Training;;;;;;
974;CC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCN)NC(=O)[C@H](CC)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](Cc1ccccc1)NC(=O)[C@@H](N)CC(C)C)C(=O)N[C@@H](CCCN)C=O;CCC(NC(=O)C1CCCN1C(=O)C(Cc1ccccc1)NC(=O)C(CC(C)C)NC(=O)C(CCCN)NC(=O)C(CC)NC(=O)C1CCCN1C(=O)C(Cc1ccccc1)NC(=O)C(N)CC(C)C)C(=O)NC(CCCN)C=O;CCC(NC(=O)C1CCCN1C(=O)C(Cc1ccccc1)NC(=O)C(CC(C)C)NC(=O)C(CCCN)NC(=O)C(CC)NC(=O)C1CCCN1C(=O)C(Cc1ccccc1)NC(=O)C(N)CC(C)C)C(=O)NC(CCCN)C=O;gramicidin-s-3;0;P-gp (Adenot, J. Chem. Inf. Comput. Sci. 2004, 44, 239-248);;4,80;7,66;2,74;6,19;8,94;1115,41;339,45;0,67;-2,53;13;22;999;10,6;0;0,999;0,000;0,000;0,001;33;2,23;Training;;;;;;
975;CC1CN(CCN1)c1cc2c(c(c1F)C)C(=O)C(=CN2C1CC1)C(O)=O;CC12CC(N)C1CN(C2)c4nc3n(cc(C(O)=O)c(=O)c3cc4F)C5CC5 ;CC12CC(N)C1CN(C2)c4nc3N(C=C(C(O)=O)C(=O)c3cc4F)C5CC5 ;grepafloxacin;0;P-gp (Adenot, J. Chem. Inf. Comput. Sci. 2004, 44, 239-248);;2,60;2,99;0,54;2,27;2,58;372;99,76;-0,10;-2,61;3;7;6,1;10,6;1;0,048;0,001;0,952;0,000;3;0,26;Training;;;;;;
